Year,Company name,Reporting on a Mandatory Basis, Number of single use plastic bags issued , Gross proceeds of charge (£) ,VAT (£),Costs deducted (£), Cost of changing till systems (£),Cost of staff communications (£),Cost of customer communications (£),Cost of obtaining advice on charge (£),Cost of administering donations (£),Other costs associated with implementing charge (£), Description of other costs, Net proceeds  (£) (Gross less VAT and costs) ,Use of net proceeds,Other use of net proceeds,Amount donated to good causes (£),Good causes in receipt of proceed donation,Number of paper bags issued,Number of bags for life issued,Number of fabric bags issued,Number of other bags issued,Any other information
2017-18,Heathcoat Fabrics Limited,:,681,34.05,5.68,No costs deducted from proceeds,0,0,0,0,0,0, ,28.37,Donated, ,34,Charity/Voluntary,:,:,:,:, VAT rate assumed to be 1/6 of initial value
2017-18,Helston Garages Ltd,:,"1,301",65.05,10.84,No costs deducted from proceeds,0,0,0,0,0,0, ,54.21,Donated, ,:, : ,:,:,:,:, 
2017-18,Hidden Hearing Ltd,:,"4,296",214.79,35.8,No costs deducted from proceeds,0,0,0,0,0,0, ,178.99,Donated, ,214,Health,:,:,:,:,Used opening stock plus purchases less closing stock
2017-18,Hillier Nurseries Ltd,:,"14,133",708.28,118,No costs deducted from proceeds,0,0,0,0,0,0, ,590.28,Retained by your company / organisation, ,0,,649,:,:,:, 
2017-18,HKS Retail Limited,:,"129,367","6,468.35","1,078.06",No costs deducted from proceeds,0,0,0,0,0,0, ,"5,390.29",Donated, ,"5,390.00",Charity/Voluntary,:,:,:,:, 
2017-18,HMV Retail Ltd,:,"1,941,180","97,059.00","16,177.00","60,000.00","5,000.00","15,000.00","5,000.00","10,000.00","25,000.00",0, ,"20,882.00",Donated, ,:, : ,:,:,:,:, 
2017-18,Hobbycraft Trading Ltd,:,"1,675,763","83,912.72","13,988.00",No costs deducted from proceeds,0,0,0,0,0,0,,"69,924.72",Donated,,"69,924.72",Charity/Voluntary,:,:,:,:,
2017-18,Homebase (HHGL Ltd),:,"668,600","36,500.04","6,882.35",No costs deducted from proceeds,0,0,0,0,0,0, ,"29,617.69",Donated, ,:, : ,:,:,:,:, 
2017-18,House of Fraser Stores Ltd,:,"3,761,159","188,058.00","31,343.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"156,715.00",Donated, ,"156,715.00",Charity/Voluntary,:,:,:,:, Data compiled from reconciled reporting system for verification of sales and volumes.
2017-18,House of Lords Catering and Retail Services,:,"8,457",422.85,70.47,No costs deducted from proceeds,0,0,0,0,0,0, ,352.38,Donated, ,352,"Arts,Charity/Voluntary",:,:,:,:, 
2017-18,Hughes TV and Audio Limited,:,"6,409",320.45,53.33,No costs deducted from proceeds,0,0,0,0,0,0, ,267.12,Donated, ,267,Charity/Voluntary,:,:,:,:, 
2017-18,Iceland Foods Ltd,:,"101,617,379","5,080,869.00","846,811.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"4,234,058.00",Donated, ,"1,399,266.00",Charity/Voluntary,:,:,:,:," This donation was part of our £10m pledge to UCL to help fund the Hub of the new UK Dementia Research Institute.
http://about.iceland.co.uk/wp-content/uploads/2018/05/iceland-foods-charitable-foundation-donates-10m-to-ucl.pdf. The balance of funds are held within the Iceland Foods Charitable Foundation whose focus for 2017/18 was on supporting UK dementia charities."
2017-18,Imperial War Museum,:,"43,022","2,150.50",358.42,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,792.08",Retained by your company / organisation, ,0,,:,:,:,:, 
2017-18,ISS Mediclean Ltd,:,"309,600","15,480.00","2,972.00","5,000.00",0,0,0,0,"5,000.00",0, ,"7,508.00",Retained by your company / organisation, ,0,,:,200,:,:, 
2017-18,J Barbour & Sons Ltd,:,"40,245","2,012.25",335.38,No costs deducted from proceeds,0,0,0,0,0,0,,"1,676.88",Donated,,"1,676.88", : ,:,:,:,:,
2017-18,J.P.MCDOUGALL & CO.LIMITED Trading as Dulux Decorator Centres,:,"40,581","4,058.10",811.62,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,246.48",Donated, ,"3,246.00",Charity/Voluntary,:,:,:,:," While we do not advertise our bags as ""bags for life"", they are a higher grade of material than what might be thoughts of as a typical plastic bag (this is because they need to be robust enough to hold cans of paint or rolls of wallpaper and in the worst case contain a paint spill);  Proceeds of carrier bag sales are donated to The Outward Bound Trust.

VAT is charged at 20%."
2017-18,JD Sports fashion PLC,:,"11,038,066","551,903.30","110,380.66",No costs deducted from proceeds,0,0,0,0,0,0, ,"441,522.64",Donated, Donated to Mountain Rescue,:, : ,:,:,:,:," 50% of the funds are passed to
Mountain Rescue in England with the
remaining 50% donated to other charitable causes in
accordance with the objects of the JD Foundation"
2017-18,John Grose Group Ltd,:,"20,805","1,040.25",208.05,No costs deducted from proceeds,0,0,0,0,0,0,,832.2,Donated,,832.2,Charity/Voluntary,:,:,:,:,
2017-18,John Lewis plc,:,"10,652,027","532,601.00","88,767.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"443,834.00",Donated, ,"443,835.00","Education,Environment,Local causes chosen by customers or staff",:,:,:,:," Price charged 5p, gross charge £532,601 and net proceeds £443,835. information was compiled from till data on purchases of bags."
2017-18,Keelham Farm Shop Limited,:,"275,965","13,798.25","2,299.71",No costs deducted from proceeds,0,0,0,0,0,0, ,"11,498.54",Donated, ,:, : ,:,:,:,:, 
2017-18,Krispy Kreme UK Ltd,:,"635,254","31,755.00","6,336.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"25,419.00",Donated, ,"25,419.00",Charity/Voluntary,:,:,:,:, 
2017-18,L ROWLANDS & CO (RETAIL) LIMITED,:,"72,644","3,632.20",726.44,No costs deducted from proceeds,0,0,0,0,0,0, ,"2,905.76",Donated, ,"3,632.00",Health,:,:,:,:,"The method used to collect & verify the figures: plastic bags are scanned into pharmacy tills via a bar-code (there are separate bar-codes for each country within the UK).  These bar-codes then record the transactions from the tills & monthly reports are produced & collated into an annual summary. VAT is paid to HMRC on the income received from the sale of the plastic bags, however, the Company donated the gross amount to the charities. "
2017-18,Lakeland Limited,:,"210,492","10,524.60","1,754.03",No costs deducted from proceeds,0,0,0,0,0,0, ,"8,770.57",Donated, ,"8,771.00","Environment,Charity/Voluntary",:,:,:,:, 
2017-18,Leeds Beckett University,:,"1,948",97.4,16.23,No costs deducted from proceeds,0,0,0,0,0,0, ,81.17,Donated, ,81,Charity/Voluntary,:,:,:,:, 
2017-18,Leonard F Jollyes (B.P) Ltd,:,"196,908","9,845.40","1,640.90",No costs deducted from proceeds,0,0,0,0,0,0, ,"8,204.50",Donated, ,"8,707.00",Local causes chosen by customers or staff,:,:,:,:, 
2017-18,Lidl UK GmbH,:,"3,625,380","181,269.00","30,348.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"150,921.00","Donated,Retained by your company / organisation", ,:, : ,:,:,:,:,A significant proportion of the proceeds from single-use carrier bag sales have been donated to Lidl UK's national charity partners and Keep Britain Tidy.
2017-18,Lincolnshire Cooperative Ltd,:,"3,699,273","184,964.00","30,827.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"154,137.00",Donated, ,"154,137.00",Local causes chosen by customers or staff,:,"503,875",:,:," Lincolnshire Bag for life- 487,920.  CP Bag for life- 119.  CP Fairtrade cotton bag- 239. Co-op Handy Shopper- 8.  Lincolnshire Fold Bag- 8289. Lincolnshire Large Shopper- 6440.  Lincolnshire Wine Carrier- 860. Sales from tills"
2017-18,Lindt and Sprungli,:,"122,909","6,154.31","1,025.72",No costs deducted from proceeds,0,0,0,0,0,0, ,"5,128.59",Donated, ,:, : ,:,:,:,:, 
2017-18,Lloyds Pharmacy Ltd,:,"665,234","33,261.70","6,652.34",No costs deducted from proceeds,0,0,0,0,0,0,,"26,609.36",Donated,,"26,609.36",Health,:,:,:,:,
2017-18,Longleat Enterprises Limited,:,"30,260","1,513.00",252.17,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,260.83",Put to other uses (supply details below), Awaiting donation,0,,:,:,:,:, Information taken from tills and control account.
2017-18,Loros Enterprises Ltd,:,"4,536",226.8,45.35,No costs deducted from proceeds,0,0,0,0,0,0, ,181.45,Donated,Loros Enterprises are charity shops assocaiated with Loros Hospice. All profits are trasnfreed to the Hospice.,:, : ,"4,536",:,:,:, 
2017-18,Loughborough Students Union,:,"78,908","3,958.00",660,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,298.00",Retained by your company / organisation, ,0,,"78,908",:,:,:, 
2017-18,Machine Mart Ltd,:,"7,560",384.75,75.6,No costs deducted from proceeds,0,0,0,0,0,0,,307.8,:,,:, : ,:,:,:,:,
2017-18,Mackays Stores Ltd,:,"1,723,840","86,192.00","14,365.34",No costs deducted from proceeds,0,0,0,0,0,0, ,"71,826.66",Donated, ,"71,827.00",Charity/Voluntary,"1,723,840",:,:,:,Our carrier bag data is collected via our till systems.
2017-18,Majestic Wine Warehouses Ltd,:,"21,320","1,066.00",176.96,No costs deducted from proceeds,0,0,0,0,0,0, ,889.04,Donated, ,:, : ,"21,320",:,:,:, 
2017-18,Maplin Electronics Ltd,:,"305,235","15,261.75","2,543.63",No costs deducted from proceeds,0,0,0,0,0,0, ,"12,718.12",Donated, ,"12,718.00",Health,:,:,:,:,Maplin Electronics Ltd went into administration in Feb'18 and will likely cease to trade in July'18.
2017-18,Marie Curie,:,"283,100","14,190.00","2,838.00",No costs deducted from proceeds,0,0,0,0,0,0,,"14,190.00",Retained by your company / organisation,,0,,:,:,:,:,
2017-18,Marks and Spencer Group plc,:,"92,285,584","4,614,279.00","769,046.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"3,845,233.00",Donated," Donated to a range of M&S charity partnerships on health, environment and international poverty.",:, : ,:,:,:,:, 
2017-18,Max Spielmann Limited,:,"129,760","6,487.98","1,081.33",No costs deducted from proceeds,0,0,0,0,0,0, ,"5,406.65",Donated, ,"5,407.00",Charity/Voluntary,:,:,:,:, 
2017-18,McColls Retail Group,:,"990,859","49,542.95","8,257.16","30,000.00",0,"5,000.00","10,000.00",0,0,"15,000.00", Costs for previous year 2016/2017 ,"11,285.79",Donated,,:, : ,:,:,:,:,
2017-18,Menkind Limited,:,"496,792","24,839.60","4,139.93",No costs deducted from proceeds,0,0,0,0,0,0, ,"20,699.67",Donated, ,:, : ,:,:,:,:, 
2017-18,Mercedes-Benz Cars UK Limited,:,534,26.7,5.34,No costs deducted from proceeds,0,0,0,0,0,0, ,21.36,Donated, ,21,Charity/Voluntary,:,:,:,:, 
2017-18,Mercedes-Benz Retail Group UK Limited,:,373,18.65,3.11,No costs deducted from proceeds,0,0,0,0,0,0, ,15.54,Donated, ,100,"Health,Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:, Data was collected from recording carrier bag sales on the dealership management system. Bags are issued from stock for sale.
2017-18,Merlin Entertainments Ltd,:,"408,148","20,407.40","3,401.23",No costs deducted from proceeds,0,0,0,0,0,0, ,"17,006.17","Donated,Put to other uses (supply details below)", Supporting schools close to our business sites with sustainability projects e.g. Building wooden Susty play stage.,"17,006.00","Education,Environment,Charity/Voluntary",:,:,:,:, 
2017-18,Merseytravel,:,324,16.2,2.69,No costs deducted from proceeds,0,0,0,0,0,0, ,13.51,Retained by your company / organisation, ,0,,:,:,:,:, 
2017-18,Michael Abakhan Limited,:,"22,200","1,110.00",185,No costs deducted from proceeds,0,0,0,0,0,0, ,925,Donated, ,925,Charity/Voluntary,:,:,:,:, Sales from Tills / Customer Invoicing
2017-18,Minds Matter (TA) Ltd,:,"122,589","6,129.45","1,021.58",No costs deducted from proceeds,0,0,0,0,0,0, ,"5,107.87",Donated, ,"5,108.00",Health,:,:,:,:, 
2017-18,MNG MANGO UK LIMITED,:,"7,683",369,62,No costs deducted from proceeds,0,0,0,0,0,0, ,307,Donated, ,307,Health,:,:,:,:, 
2017-18,MONDELEZ EUROPE SERVICES GMBH - UK BRANCH,:,"137,945","6,897.25","1,149.54",No costs deducted from proceeds,0,0,0,0,0,0, ,"5,747.71",Donated, ,"5,747.71",Charity/Voluntary,:,:,:,:, 
2017-18,Morleys Department Stores Ltd,:,"508,735","25,436.73","4,293.63",143.1,0,0,0,0,0,143.1, Accounts & Admin,"21,000.00",Donated, ,"21,000.00",Charity/Voluntary,"40,000",:,:,:,The above data has been compiled using the sales reports for the plastic carrier bags.
2017-18,Moss Bros Group PLC,:,"40,040","2,002.00",333.72,No costs deducted from proceeds,0,0,0,0,0,0,,"1,668.28",Donated,,:,Health,:,:,:,:,
2017-18,Mothercare PLC,:,"2,129,837","106,491.85","17,748.65",No costs deducted from proceeds,0,0,0,0,0,0, ,"88,743.20",Donated, ,"88,743.00",Environment,:,:,:,:, 
2017-18,MP Moran & Sons Limited,:,"5,928",296.4,49.4,No costs deducted from proceeds,0,0,0,0,0,0, ,247,Donated, ,247,Health,:,:,:,:, 
2017-18,Next retail Ltd,:,"21,952,119","1,097,605.96","182,934.33",No costs deducted from proceeds,0,0,0,0,0,0, ,"914,671.63",Donated, ,"914,671.00","Environment,Health,Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:,Method of data collection- Till system verified purchase of bags
2017-18,Nike Retail UK (a UK establishment of Nike Retail B.V.),:,"663,940","33,196.99","5,532.83",No costs deducted from proceeds,0,0,0,0,0,0, ,"27,664.16",Donated, ,"27,664.00",Charity/Voluntary,:,:,:,:, 
2017-18,Nirvana Spa & Leisure Ltd,:,"1,344",67.2,11.2,No costs deducted from proceeds,0,0,0,0,0,0, ,56,Donated, ,56,Local causes chosen by customers or staff,"1,344",:,:,:, 
2017-18,Nisbets Plc,:,"87,076","4,353.80",870.76,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,483.04",Donated, ,"3,483.00",Local causes chosen by customers or staff,:,:,:,:, 
2017-18,Norchem Healthcare Ltd,:,"4,081",170.05,34.01,300,100,0,200,0,0,0,,-129.95,:,,:, : ,:,:,:,:,
2017-18,Norwich Tourist Information Centre,:,136,6.8,1.13,No costs deducted from proceeds,0,0,0,0,0,0, ,5.67,Donated, ,:, : ,:,:,:,:, 
2017-18,Notcutts Limited,:,"98,972","4,945.00",824,No costs deducted from proceeds,0,0,0,0,0,0, ,"4,121.00",Donated, ,"4,121.00",Local causes chosen by customers or staff,:,:,:,:, 
2017-18,Ocado Retail Limited,:,"140,793,060","7,039,653.00","1,173,276.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"5,866,377.00","Donated,Put to other uses (supply details below)","Ocado has a bag buy back scheme, financially incentivising customers to return their bags for recycling. We use a large majority of the proceeds from the charge to fund this scheme as we believe it supports the legislation in removing bags from becoming litter.",:, : ,:,:,:,:," All proceeds from this legislation are going towards helping to reduce litter and waste, and incentivise recycling."
2017-18,Oldrid & Co Ltd,:,"188,041","7,521.64","1,504.33",No costs deducted from proceeds,0,0,0,0,0,0,,"6,017.31",Donated,,"7,521.64",Environment,:,:,:,:,
2017-18,One Stop Stores Ltd,:,"18,892,730","944,866.00","156,810.00","72,599.00",0,0,0,0,"72,599.00",0, ,"715,457.00","Donated,Retained by your company / organisation",Groundwork UK are paid administration fees for help with the Carriers for Causes website and for allocating charity awards.,"1,248,263.00",Local causes chosen by customers or staff,:,"3,786,141",:,:,
2017-18,Paultons Park Ltd,:,"94,358","4,717.90",786.32,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,931.58",Donated, ,"3,932.00","Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:, 
2017-18,Pavers Ltd,:,"344,216","17,210.80","2,868.47",No costs deducted from proceeds,0,0,0,0,0,0, ,"14,342.33",Donated, ,"14,342.00",Charity/Voluntary,:,:,:,:, 
2017-18,PCT Healthcare Ltd,:,"6,114",305,51,No costs deducted from proceeds,0,0,0,0,0,0, ,254,Donated, ,254,"Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:, 
2017-18,Percy Ingle Bakeries Ltd,:,"703,652","35,182.60","5,862.71","15,308.33",14,650,500,70,"2,600.00","11,474.33",The purchase price of the carrier bags.,"14,011.56",Donated, ,"14,012.00","Education,Health,Sport,Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:, 
2017-18,Petrogas Group UK Ltd,:,"178,273","8,913.65","1,485.60",No costs deducted from proceeds,0,0,0,0,0,0, ,"7,428.05",Donated, ,:, : ,:,:,:,:, 
2017-18,Pets at Home Limited,:,"1,828,932","91,446.60","15,491.00",No costs deducted from proceeds,0,0,0,0,0,0,,"75,955.60",Donated,,"91,446.60", : ,:,:,:,:,
2017-18,PGL Travel Ltd,:,"37,751","1,887.56",465.14,No costs deducted from proceeds,0,0,0,0,0,0,,"1,422.42",Donated,,"1,887.56",Local causes chosen by customers or staff,:,:,:,:,
2017-18,Picsolve International Ltd,:,"36,925","1,846.25",369.25,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,477.00","Retained by your company / organisation,Put to other uses (supply details below)",Proceeds taken from a Picsolve stand and banked by Picsolve. However stand is on the premises of Merlin Entertainments and proceeds of 138.56 net to be given to Merlin  to give to their nominated charity which differs from ours. The balance will be nominated to our charity in the next month,0,,:,:,:,:, Data was compiled from till ouput
2017-18,Plymouth City Museum,:,275,13.75,2.29,No costs deducted from proceeds,0,0,0,0,0,0, ,11.46,Donated, ,11,Environment,:,:,:,:, 
2017-18,Portmeirion Group UK Limited,:,"36,079","1,827.00",304,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,523.00",Donated, ,:, : ,:,:,:,:, 
2017-18,Post Office Limited,:,850,42.5,8.5,No costs deducted from proceeds,0,0,0,0,0,0,,34,Donated,,34,Charity/Voluntary,:,:,:,:,
2017-18,Potters Leisure Ltd,:,"6,970",349,58,No costs deducted from proceeds,0,0,0,0,0,0,,290,Donated,Data collected from our Micro Till System on a Monthly basis then a yearly report run for the carrier bags. All sales are cross checked to the Bank Accounts,290,Local causes chosen by customers or staff,:,:,:,:,
2017-18,Poundland Limited ,:,"47,214,403","2,360,720.15","472,144.03",:,:,:,:,:,:,:,,"1,888,576.12",:,,:, : ,:,:,:,:,
2017-18,Poundstretcher Ltd,:,"5,705,937","285,296.85","47,546.45",No costs deducted from proceeds,0,0,0,0,0,0, ,"237,750.40",Retained by your company / organisation, ,:, : ,:,:,:,:, 
2017-18,Poundworld Retail Limited,:,"11,281,682","567,707.00","113,310.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"454,397.00",Retained by your company / organisation,"The company is still finalising its charity strategy for the current year and the use of the carrier bag levy funds. 
",0,,:,:,:,:,"The company has in place a VAT  agreement with HMRC which rounds VAT to the nearest half penny on each item sold. In the case of carrier bags this translates in most cases as 4p revenue, 1p VAT. 
"
2017-18,Pret A Manger (Europe) Ltd,:,"251,264","12,563.20","2,512.64",No costs deducted from proceeds,0,0,0,0,0,0, ,"10,050.56",Donated, ,"10,050.00",Environment,:,:,:,:,Pret only use plastic bags for large deliveries. The number of bags used isnt always known until a delivery takes place and the transaction is completed before the goods are packed. Based on a 2-bag average per delivery we charge 10p per delivery to account for this. This is reconciled against plastic bags ordered and delivered to our estate shops.
2017-18,QD Commercial Group Holdings Limited,:,"1,303,196","54,299.86","10,859.97","15,500.00",0,0,0,0,0,"15,500.00",,"27,939.89",Donated,,"21,368.00", : ,:,:,:,:,
2017-18,Quality Save,:,"828,669","41,407.00","8,281.00","11,758.00",0,0,500,0,900,"10,358.00", Other costs detailed above are the cost of the carrier bags.,"21,368.00","Donated,Retained by your company / organisation",   ,:,:,:,:,:,:, 
2017-18,QVC,:,"35,763","1,788.15",298.03,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,490.12",Donated,Donated to designated corporate charities,:,Local causes chosen by customers or staff,:,:,:,:,Amount donated £1490.12; Data identified by sales reports generated by epos system
2017-18,Ragdale Hall (1990) Limited,:,200,10,1.67,No costs deducted from proceeds,0,0,0,0,0,0, ,8.33,Retained by your company / organisation, ,0,,:,:,:,:, 
2017-18,Red 5 (Retail) Limited,:,"101,892","5,095.00",849,No costs deducted from proceeds,0,0,0,0,0,0, ,"4,246.00",Donated, ,:, : ,:,:,:,:, 
2017-18,REXEL UK LTD,:,"124,976","6,249.00","1,041.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"5,208.00",Put to other uses (supply details below),Donation to be made asap to Charity nominated as part of the Company Satisfaction charity vote. ,0,,:,:,:,:, The company has recently taken the decision to stop using plastic carrier bags altogether in it's sustainability efforts;  Carrier bag sales are reported in various systems across the organisation. Sales have then been aggregated for the purpose of completing this return.
2017-18,Ringtons Limited,:,3,0.15,0.03,No costs deducted from proceeds,0,0,0,0,0,0, ,0.12,Retained by your company / organisation, ,0,,:,:,:,:, 
2017-18,River Island Clothing Co Ltd,:,"8,024,565","401,228.27","66,871.38",No costs deducted from proceeds,0,0,0,0,0,0, ,"334,356.89",Donated, ,:, : ,:,:,:,:, 
2017-18,Robert Dyas Holdings Limited,:,"1,454,707","72,735.00","12,122.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"60,613.00",Donated, ,"60,613.00",Charity/Voluntary,:,:,:,:, 
2017-18,Roman Originals plc,:,"443,228","22,161.40","3,693.57",No costs deducted from proceeds,0,0,0,0,0,0, ,"18,467.83",Donated, ,"18,468.00","Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:, 
2017-18,Roys (Wroxham) Limited,:,"591,567","29,578.35","5,720.13",No costs deducted from proceeds,0,0,0,0,0,0,,"23,858.20",Donated,,"20,404.51",Local causes chosen by customers or staff,:,:,:,:,
2017-18,Ryman Limited,:,"1,370,352","68,518.00","11,420.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"57,098.00",Donated, ,"57,098.00",Charity/Voluntary,:,:,:,:, 
2017-18,Sainsbury's,:,"53,947,789","2,697,389.00","449,565.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"2,247,824.00",Donated, ,"2,247,824.00",Charity/Voluntary,:,:,:,:, 
2017-18,Sally Salon Services Ltd,:,"264,681","13,234.05","2,646.70",No costs deducted from proceeds,0,0,0,0,0,0, ,"10,587.35",Donated, ,"10,587.00",Charity/Voluntary,:,:,:,:, 
2017-18,Savers Health & Beauty Limited,:,"11,311,753","565,584.00","93,946.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"471,638.00",Donated, ,"471,638.00",Health,:,:,:,:, 
2017-18,Sayers The Bakers Limited,:,"1,453,561","72,678.05","12,113.01",No costs deducted from proceeds,0,0,0,0,0,0, ,"60,565.04",Donated, ,"60,565.00",Local causes chosen by customers or staff,:,:,:,:, 
2017-18,Scottish Midland Co-operative Society Ltd,:,"211,589","10,579.45","2,115.89",No costs deducted from proceeds,0,0,0,0,0,0,,"8,463.56",Donated,,"8,463.56",Local causes chosen by customers or staff,:,:,:,:,
2017-18,Shearings Hotels Ltd,:,13,0.65,0.11,No costs deducted from proceeds,0,0,0,0,0,0, ,0.54,Retained by your company / organisation, ,0,,:,:,:,:, 
2017-18,Skechers USA LTD,:,"271,478","13,573.90","2,262.32",No costs deducted from proceeds,0,0,0,0,0,0, ,"11,311.58",Donated, ,:, : ,:,:,:,:, 
2017-18,SMG UK Ltd First Direct Arena,:,"8,025",401.25,66.87,No costs deducted from proceeds,0,0,0,0,0,0, ,334.38,Donated, ,334,Health,:,:,:,:, Donated to -  Maggies Cancer CentresRegistered Charity No. SC024414
2017-18,SMG UK LTD t/a Manchester Arena,:,"2,920",146,29.2,No costs deducted from proceeds,0,0,0,0,0,0, ,116.8,Donated, ,117,Local causes chosen by customers or staff,:,:,:,:, 
2017-18,Smiggle UK Limited,:,"636,456","31,822.80","5,303.80",No costs deducted from proceeds,0,0,0,0,0,0, ,"26,519.00",Retained by your company / organisation, ,0,,:,:,:,:,Proceeds held until appropriate charity partnership has been identified
2017-18,Smyths Toys UK Limited,:,"2,006,153","100,307.65","16,718.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"83,589.65",Donated, ,"83,590.00","Health,Charity/Voluntary",:,:,:,:," Tameside NHS NICU 
Royal Manchester Childrens Hospital - Too call back
Acorns Hospice
Little Havens Hospice
The Kensington & Chelsea Foundation - ref Grenfell Tower Fund
The Haven Refuge Wolverhampton
The Children's Society Birmingham & Coventry
Parents Association of Children with Tumours and Leukaemia
Jessops hospital, special care baby unit
Birmingham Children's Hospital
Bluebell wood childrens hospice
Al-Imdaad Foundation UK"
2017-18,Snappy Snaps,:,973,48.65,8.11,No costs deducted from proceeds,0,0,0,0,0,0,,40.54,Donated,,58.5,Charity/Voluntary,:,:,:,:,
2017-18,Sodexo Ltd,:,"552,606","29,052.15","4,842.03",No costs deducted from proceeds,0,0,0,0,0,0, ,"24,210.12",Donated, ,:, : ,:,:,:,:,
2017-18,South Tyneside Council,:,559,27.95,4.04,No costs deducted from proceeds,0,0,0,0,0,0, ,23.91,Donated, ,24,Charity/Voluntary,:,:,:,:, 
2017-18,Southampton City Council,:,"1,570",78.5,13.08,No costs deducted from proceeds,0,0,0,0,0,0, ,65.42,Donated, ,65,Charity/Voluntary,:,:,:,:, 
2017-18,Sportswift Ltd T/A Card Factory,:,"11,842,720","592,136.00","98,689.33",No costs deducted from proceeds,0,0,0,0,0,0, ,"493,446.67",Put to other uses (supply details below),The net proceeds are to be donated to our chosen charities (as in previous years) and also to a charitable foundation recently set up by the business.,0,,:,:,:,:, 
2017-18,SSP UK Limited,:,"10,215,324","510,766.00","85,127.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"425,639.00",Donated, Net Proceeds donated to Charity,"425,638.00",Charity/Voluntary,:,"21,688",:,:, 
2017-18,St Peter's Hospice,:,"125,672","6,283.60","1,047.27",No costs deducted from proceeds,0,0,0,0,0,0, ,"5,236.33",Retained by your company / organisation,We are a charity so we retain the proceeds,0,,:,:,:,:, Data based on till sales
2017-18,Stanley Black and Decker,:,"4,359",217.95,36.33,No costs deducted from proceeds,0,0,0,0,0,0, ,181.62,Donated, ,181,Local causes chosen by customers or staff,:,:,:,:, 
2017-18,Sue Ryder,:,"1,441,806","145,287.00","24,214.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"121,073.00",Donated, ,"121,073.00","Health,Charity/Voluntary",:,:,:,:," Bags are priced at 5p, 10p and 15p.  83% of bags sold are priced at 10p or above;  Net proceeds donated to Sue Ryder (registered charity number 1052076) to support end of life and neurological care."
2017-18,SUK Retail Ltd,:,"145,852","7,292.60","1,215.43",No costs deducted from proceeds,0,0,0,0,0,0, ,"6,077.17",Retained by your company / organisation, ,"1,313.00",Local causes chosen by customers or staff,:,:,:,:, 
2017-18,Tate Bros. Ltd,:,"54,078","2,704.00",451,No costs deducted from proceeds,0,0,0,0,0,0, ,"2,253.00",Donated, ,"4,642.00",Local causes chosen by customers or staff,:,:,:,:,
2017-18,Tesco Stores Ltd,:,"332,741,451","16,637,072.55","2,772,845.42",No costs deducted from proceeds,0,0,0,0,0,0, ,"13,864,227.13",Donated, ,"13,864,227.00",Local causes chosen by customers or staff,:,:,:,:,"£12.17million to local causes voted for by customers and £1.69million to community charity Groundwork. Tesco distributes the money raised from the carrier bag charge through its Bags of Help scheme. Launched in 2015, the national scheme invites local community groups to apply for funding for local projects. To date, across England , Scotland and Wales we've given over £52 million to more than 16,000 local community  projects, which range from installing new school playground equipment and improving local parks to creating new community gardens and restoring local heritage sites. These projects are voted for by our customers in- store.  We receive expert support from the community charity, Groundwork, who help community groups apply for funding and distribute the funds on behalf of Tesco.
"
2017-18,The Atkinson,:,189,7.87,1.58,No costs deducted from proceeds,0,0,0,0,0,0, ,6.29,Retained by your company / organisation, ,0,,:,:,:,:, 
2017-18,The Camphill Village Trust Ltd,:,6,0.25,0.05,No costs deducted from proceeds,0,0,0,0,0,0, ,0.2,Retained by your company / organisation, ,0,,:,:,:,:, 
